城市名称,1月日照时数,2月日照时数,3月日照时数,4月日照时数,5月日照时数,6月日照时数,7月日照时数,8月日照时数,9月日照时数,10月日照时数,11月日照时数,12月日照时数,全年日照时数
杭州,171.9小时,114.7小时,99.3小时,131.4小时,155.9小时,127.0小时,179.1小时,181.1小时,196.3小时,148.3小时,146.5小时,191.4小时,1842.9小时
合肥,159.1小时,168.9小时,111.4小时,140.9小时,181.6小时,177.6小时,157.0小时,153.5小时,201.0小时,150.8小时,211.4小时,209.1小时,2022.3小时
福州,173.7小时,147.2小时,119.0小时,123.5小时,121.3小时,133.3小时,247.0小时,158.1小时,231.4小时,87.5小时,91.1小时,123.3小时,1756.4小时
南昌,157.9小时,99.8小时,56.3小时,53.6小时,92.6小时,133.9小时,208.3小时,146.1小时,252.0小时,126.7小时,131.9小时,167.1小时,1626.2小时
济南,213.0小时,214.0小时,183.4小时,208.3小时,282.9小时,224.8小时,167.6小时,192.9小时,160.7小时,149.4小时,201.0小时,208.9小时,2406.9小时
青岛,156.5小时,173.3小时,203.6小时,199.0小时,241.0小时,163.6小时,175.1小时,186.9小时,169.7小时,164.3小时,186.3小时,191.4小时,2210.7小时
郑州,170.9小时,186.3小时,109.9小时,150.1小时,209.4小时,162.2小时,119.5小时,94.4小时,147.3小时,103.1小时,165.9小时,178.1小时,1797.1小时
武汉,129.1小时,118.5小时,71.0小时,59.7小时,116.5小时,147.2小时,138.0小时,129.6小时,226.0小时,116.1小时,159.8小时,161.4小时,1572.9小时
长沙,126.2小时,92.0小时,52.2小时,26.4小时,89.2小时,165.0小时,247.9小时,157.9小时,248.9小时,86.5小时,144.7小时,141.2小时,1578.1小时
广州,188.1小时,204.6小时,81.3小时,106.0小时,160.5小时,126.3小时,212.6小时,148.9小时,226.1小时,152.0小时,175.7小时,172.9小时,1955.0小时
南宁,103.8小时,150.6小时,42.5小时,45.5小时,145.9小时,143.6小时,210.2小时,180.2小时,211.6小时,135.5小时,129.6小时,155.7小时,1654.7小时
桂林,98.7小时,98.9小时,27.5小时,39.5小时,72.6小时,117.6小时,215.2小时,191.3小时,251.8小时,110.0小时,102.0小时,151.7小时,1476.8小时
海口,128.0小时,176.7小时,133.9小时,141.3小时,272.5小时,186.0小时,216.3小时,201.2小时,176.6小时,88.5小时,143.1小时,78.5小时,1942.6小时
重庆(沙坪坝),55.5小时,83.0小时,75.2小时,45.6小时,89.7小时,85.1小时,164.9小时,136.9小时,163.2小时,72.0小时,38.8小时,44.6小时,1054.5小时
成都(温江),177.7小时,204.8小时,212.3小时,83.2小时,102.7小时,91.8小时,151.4小时,118.3小时,97.9小时,17.0小时,63.2小时,63.5小时,1383.8小时
贵阳,76.9小时,63.5小时,99.0小时,77.5小时,129.2小时,150.9小时,202.5小时,203.6小时,230.6小时,87.5小时,72.7小时,88.3小时,1482.2小时
昆明,243.8小时,249.7小时,306.8小时,306.8小时,343.1小时,288.1小时,308.9小时,287.5小时,289.1小时,214.7小时,198.8小时,198.4小时,3235.7小时
拉萨,281.1小时,271.9小时,318.9小时,283.3小时,223.5小时,282.7小时,197.9小时,177.9小时,224.9小时,284.1小时,273.5小时,248.2小时,3067.9小时
西安(泾河),161.8小时,164.4小时,140.2小时,112.5小时,228.2小时,183.1小时,190.8小时,174.7小时,139.5小时,73.4小时,183.1小时,157.2小时,1908.9小时
兰州(皋兰),209.8小时,218.9小时,208.2小时,158.8小时,244.0小时,211.9小时,256.1小时,214.3小时,195.0小时,152.4小时,221.3小时,191.8小时,2482.5小时
西宁,205.5小时,213.8小时,195.1小时,167.0小时,217.4小时,170.8小时,253.6小时,188.3小时,194.5小时,144.9小时,242.9小时,232.9小时,2426.7小时
银川,212.7小时,211.7小时,199.8小时,192.2小时,288.3小时,250.6小时,325.6小时,226.1小时,218.7小时,164.0小时,221.0小时,206.8小时,2717.5小时
乌鲁木齐,164.3小时,115.3小时,138.7小时,258.5小时,283.0小时,276.7小时,295.2小时,279.1小时,276.5小时,210.8小时,187.9小时,148.0小时,2634.0小时
